Energy Bias=      0.0000000000000000
------------------------------------
     Strct.     Target energy              Evaluated energy            Eval-Target energy
-----------------------------------------------------------------------------------------
000001 e000000       -1.3241600000000000        -1.7885795463728973        -0.4644195463728973
000002 e000001       -2.6142194999999999        -2.5426623859710071         0.0715571140289928
000003 e000002       -3.0040687500000001        -3.0781614797902841        -0.0740927297902840
000004 e000003       -3.5051100000000006        -3.5168222847522057        -0.0117122847522051
000005 e000004       -3.4851350000000010        -3.5961093556046846        -0.1109743556046836
000006 e000005       -2.8737207499999999        -2.9419577611332715        -0.0682370111332715
000007 e000006       -1.4168980000000000        -1.3347365870108743         0.0821614129891257
000008 e000007       -3.0709872499999999        -3.1684157715262233        -0.0974285215262234
000009 e000008       -3.2076030000000002        -3.4450072696767697        -0.2374042696767695
000010 e000009       -1.4532324999999999        -0.9639765021340320         0.4892559978659680
000011 e000010       -2.5887162500000001        -2.5979589499292999        -0.0092426999292998
000012 e000011       -1.4388380000000001        -0.8212412206343410         0.6175967793656590
000013 e000012       -3.0652390000000000        -3.1635802112395681        -0.0983412112395681

000001 e000013       -2.3839102500000000        -2.3405407643317888         0.0433694856682112
000002 e000014       -2.6224314999999998        -2.6398072710854761        -0.0173757710854763
000003 e000015       -2.9370377500000000        -3.5311366723608337        -0.5940989223608337
000004 e000016       -1.4429500000000000        -0.8433863679333982         0.5995636320666018
000005 e000017       -1.4446654999999999        -1.1306269077093489         0.3140385922906510
000006 e000018       -2.5207169999999999        -2.5128572525630526         0.0078597474369473
000007 e000019       -0.6564407500000000        -0.6141091816866587         0.0423315683133413
000008 e000020       -3.0454822500000001        -3.1420295639402811        -0.0965473139402810
000009 e000021       -1.4497290000000000        -0.9057114523190128         0.5440175476809872
000010 e000022       -3.0120632500000002        -3.6128476900323960        -0.6007844400323958
000011 e000023       -2.9349707500000002        -2.9846510914515951        -0.0496803414515949
000012 e000024       -2.5185789999999999        -2.4139851013953995         0.1045938986046004
000013 e000025       -2.9818935000000000        -3.6048382343469330        -0.6229447343469330
