(eV/Ang)   strct.        NN-DFT   path
----------------------------------------------------------
trn000090 e000097       0.03177  ./DATA/100/00/GA/G009/M021/
trn000091 e000098       0.04478  ./DATA/100/00/GA/G004/M020/
trn000092 e000099       0.08623  ./DATA/100/00/GA/G018/M026/
trn000093 e000100       0.01461  ./DATA/100/00/GA/G013/M025/
trn000094 e000101       0.08389  ./DATA/100/00/GA/G002/M026/
trn000095 e000102       0.13490  ./DATA/100/00/GA/G006/M023/
trn000096 e000103       0.00271  ./DATA/100/00/GA/G023/M020/
trn000097 e000104       0.00513  ./DATA/100/00/GA/G018/M021/
trn000098 e000106      -1.00000  ./DATA/200/49/
trn000099 e000107       0.03518  ./DATA/100/00/GA/G010/M028/
trn000100 e000108       0.02630  ./DATA/100/00/GA/G020/M029/
trn000101 e000109       0.07210  ./DATA/000/117/
trn000102 e000110       0.06056  ./DATA/000/097/
trn000103 e000111       0.03276  ./DATA/100/00/GA/G002/M022/
trn000104 e000113       0.08393  ./DATA/100/00/GA/G020/M020/
trn000105 e000114       0.03440  ./DATA/100/00/GA/G006/M026/
trn000106 e000116       0.06189  ./DATA/100/00/GA/G007/M027/
trn000107 e000117       0.12873  ./DATA/100/00/GA/G010/M026/
trn000108 e000118      -1.00000  ./DATA/200/18/
trn000109 e000119       0.03453  ./DATA/100/00/GA/G017/M029/
trn000110 e000120       0.22355  ./DATA/100/00/GA/G004/M024/
trn000111 e000121       0.04442  ./DATA/100/00/GA/G009/M023/
trn000112 e000122      -1.00000  ./DATA/200/59/
trn000113 e000123       0.10680  ./DATA/100/00/GA/G004/M028/
trn000114 e000125       0.01263  ./DATA/100/00/GA/G021/M021/
trn000115 e000126       0.05998  ./DATA/100/00/GA/G001/M027/
trn000116 e000127       0.00615  ./DATA/100/00/GA/G024/M026/
trn000117 e000128       0.09038  ./DATA/000/142/
trn000118 e000129       0.12190  ./DATA/100/00/GA/G006/M021/
trn000119 e000130       0.01607  ./DATA/000/134/
trn000120 e000131       0.03779  ./DATA/100/00/GA/G016/M025/
trn000121 e000132       0.03781  ./DATA/000/106/
trn000122 e000133       0.00484  ./DATA/000/104/
trn000123 e000135       0.05513  ./DATA/100/00/GA/G015/M023/
trn000124 e000136       0.08338  ./DATA/100/00/GA/G004/M026/
trn000125 e000137       0.03800  ./DATA/100/00/GA/G007/M021/
trn000126 e000138       0.03419  ./DATA/100/00/GA/G016/M022/
trn000127 e000139       0.05970  ./DATA/000/122/
trn000128 e000140       0.07674  ./DATA/000/111/
trn000129 e000141       0.02498  ./DATA/100/00/GA/G007/M024/
trn000130 e000142       0.11485  ./DATA/000/081/
trn000131 e000143       0.11314  ./DATA/100/00/GA/G021/M028/
trn000132 e000144       0.07939  ./DATA/000/113/
trn000133 e000145       0.03104  ./DATA/100/00/GA/G010/M023/
trn000134 e000146       0.02112  ./DATA/100/00/GA/G024/M022/
trn000135 e000147       0.02242  ./DATA/000/105/
trn000136 e000148       0.00529  ./DATA/100/00/GA/G021/M025/
trn000137 e000149       0.01635  ./DATA/100/00/GA/G011/M025/
trn000138 e000150       0.02840  ./DATA/100/00/GA/G012/M021/
trn000139 e000151       0.04901  ./DATA/000/098/
trn000140 e000154      -1.00000  ./DATA/200/37/
trn000141 e000156       0.04621  ./DATA/100/00/GA/G008/M021/
trn000142 e000157       0.01905  ./DATA/100/00/GA/G023/M025/
trn000143 e000158       0.01754  ./DATA/100/00/GA/G004/M021/
trn000144 e000159       0.02018  ./DATA/100/00/GA/G014/M028/
trn000145 e000160      -1.00000  ./DATA/200/40/
trn000146 e000161       0.09397  ./DATA/100/00/GA/G020/M026/
trn000147 e000162       0.03279  ./DATA/100/00/GA/G018/M027/
trn000148 e000163       0.04141  ./DATA/100/00/GA/G022/M025/
trn000149 e000164      -1.00000  ./DATA/200/36/
trn000150 e000165       0.08443  ./DATA/100/00/GA/G019/M027/
trn000151 e000166       0.04692  ./DATA/000/084/
trn000152 e000167       0.00505  ./DATA/000/133/
trn000153 e000169       0.04868  ./DATA/100/00/GA/G018/M023/
trn000154 e000170      -1.00000  ./DATA/200/28/
trn000155 e000171       0.04479  ./DATA/100/00/GA/G020/M025/
trn000156 e000172      -1.00000  ./DATA/200/54/
trn000157 e000173      -1.00000  ./DATA/200/57/
trn000158 e000174      -1.00000  ./DATA/200/60/
trn000159 e000175       0.03156  ./DATA/100/00/GA/G012/M023/
trn000160 e000178       0.09548  ./DATA/100/00/GA/G020/M024/
trn000161 e000179       0.00436  ./DATA/100/00/GA/G023/M024/
trn000162 e000182       0.12033  ./DATA/100/00/GA/G008/M028/
trn000163 e000183       0.22514  ./DATA/000/079/
trn000164 e000184       0.01105  ./DATA/100/00/GA/G014/M023/
trn000165 e000188       0.08925  ./DATA/100/00/GA/G024/M021/
trn000166 e000189       0.10119  ./DATA/100/00/GA/G001/M022/
trn000167 e000190       0.05467  ./DATA/000/124/
trn000168 e000191       0.08105  ./DATA/000/120/
trn000169 e000193      -1.00000  ./DATA/200/33/
trn000170 e000194       0.06999  ./DATA/000/140/
trn000171 e000195       0.07912  ./DATA/000/095/
trn000172 e000196       0.04193  ./DATA/100/00/GA/G007/M028/
trn000173 e000198       0.02049  ./DATA/100/00/GA/G009/M020/
trn000174 e000199       0.02049  ./DATA/100/00/GA/G007/M026/
trn000175 e000200       0.12129  ./DATA/100/00/GA/G020/M028/
