       0     -3.105918   2757.433813     23.751970      6.000000      0.000000      0.000000
      10     -3.058254   1493.731534     24.920332      6.000000     -0.115689      0.052147
      20     -3.062252    941.308573     25.067007      6.000000     -0.191097      0.097942
      30     -3.115940   1277.407685     23.087422      6.000000     -0.201339      0.099819
      40     -3.170647   1819.663020     20.839857      6.000000     -0.185950      0.104583
      50     -3.164770   1555.228570     21.005085      6.000000     -0.214256      0.122489
      60     -3.115366    979.019324     22.967679      6.000000     -0.239335      0.135752
      70     -3.103417   1134.364824     23.507603      6.000000     -0.207306      0.140466
      80     -3.106939   1947.874610     23.589097      6.000000     -0.105670      0.143391
      90     -3.014136   1702.271597     26.995240      6.000000     -0.044614      0.156040
     100     -3.056057   2014.208140     25.256768      6.000000     -0.046212      0.160959
