       0     -3.191758   1034.882044     20.272734      6.000000     -0.000000      0.000000
      10     -3.193867   1273.261533     19.690401      6.000000      0.028706      0.051417
      20     -3.161197   1449.993675     20.705725      6.000000      0.084221      0.103204
      30     -3.157977   1805.532549     20.999774      6.000000      0.133400      0.107727
      40     -3.169330   1728.727815     20.962624      6.000000      0.112119      0.137680
      50     -3.136004   1019.446988     22.506375      6.000000      0.053759      0.144654
      60     -3.127890    926.529393     22.674589      6.000000      0.049862      0.154645
      70     -3.137674   1425.493511     22.392113      6.000000      0.104576      0.158217
      80     -3.042134   1294.010219     27.020393      6.000000      0.183120      0.160610
      90     -3.001365   1548.632940     29.048575      6.000000      0.256804      0.161974
     100     -3.105918   2757.433813     23.751970      6.000000      0.308507      0.160403
