       0     -3.270381   1215.375527     16.225055      6.000000      0.000000      0.000000
      10     -3.214832    903.325326     18.621128      6.000000      0.015211      0.076598
      20     -3.136617    626.027673     22.003355      6.000000      0.057582      0.074114
      30     -3.131885   1628.912965     22.505696      6.000000      0.191953      0.071600
      40     -3.023665   2362.805834     27.292525      6.000000      0.395040      0.098280
      50     -2.969883   1717.437013     29.126372      6.000000      0.365398      0.129505
      60     -2.999357   1189.699197     27.558872      6.000000      0.267705      0.134747
      70     -3.063387   1149.239340     25.445444      6.000000      0.198445      0.145814
      80     -3.141646   1301.499197     22.527828      6.000000      0.139868      0.145229
      90     -3.177224   1143.897764     21.170598      6.000000      0.083918      0.144680
     100     -3.191758   1034.882044     20.272734      6.000000      0.055292      0.143315
