   11.779988906    -3.551250395    0    0
   11.779976125    -3.551250395    0    1
   11.779997113    -3.551250395    0    2
   11.779988906    -3.551250395    0    3
   11.779976125    -3.551250395    0    4
   11.779988906    -3.551250395    1    0
   11.779988906    -3.551250395    1    1
   11.779985672    -3.551250395    1    2
   11.779976276    -3.551250395    1    3
   11.780006295    -3.551250395    1    4
   11.779988906    -3.551250395    2    0
   11.779988906    -3.551250395    2    1
   11.779980344    -3.551250395    2    2
   11.780000291    -3.551250395    2    3
   11.779953543    -3.551250395    2    4
